English_Term,Malayalam_Translation
swollen lymph nodes,ലസികാഗ്രന്ഥികളിലെ വീക്കം
unexplained weight loss,കാരണമില്ലാതെ ഭാരം കുറയുക
loss of smell,മണം ലഭിക്കാത്ത അവസ്ഥ
loss of taste,രുചി അറിയാത്ത അവസ്ഥ
surgical intervention,ശസ്ത്രക്രിയ വഴിയുള്ള ഇടപെടൽ
conservative management,മരുന്നുകളിലൂടെയുള്ള ചികിത്സ
palliative care,സാന്ത്വന ചികിത്സ
intensive care unit,തീവ്രപരിചരണ വിഭാഗം
emergency department,അത്യാഹിത വിഭാഗം
outpatient department,ഒ.പി. വിഭാഗം
inpatient department,ഐ.പി. വിഭാഗം
follow-up visit,തുടർ പരിശോധന
idiopathic,കാരണമറിയാത്ത
asymptomatic carrier,രോഗലക്ഷണങ്ങളില്ലാത്ത രോഗവാഹി
pathogenic,രോഗമുണ്ടാക്കുന്ന
systemic infection,ശരീരത്തെ മുഴുവൻ ബാധിക്കുന്ന അണുബാധ
localized infection,ഒരു ഭാഗത്ത് മാത്രമുള്ള അണുബാധ
rehabilitation therapy,പുനരധിവാസ ചികിത്സ
biopsy results,കോശപരിശോധനാ ഫലം
benign tumor,അപകടകരമല്ലാത്ത മുഴ
malignant tumor,അപകടകാരിയായ മുഴ
metastatic cancer,ശരീരത്തിന്റെ മറ്റ് ഭാഗങ്ങളിലേക്ക് പടർന്ന കാൻസർ
blood group,രക്തഗ്രൂപ്പ്
universal donor,ഏതൊരാൾക്കും രക്തം നൽകാവുന്ന വ്യക്തി
universal recipient,ഏതൊരാളിൽ നിന്നും രക്തം സ്വീകരിക്കാവുന്ന വ്യക്തി
trauma center,അത്യാഹിത ചികിത്സാ കേന്ദ്രം
first-degree burn,നേരിയ പൊള്ളൽ
referral,മറ്റൊരു ഡോക്ടറുടെ അടുത്തേക്ക് നിർദ്ദേശിക്കൽ
dosage schedule,മരുന്ന് കഴിക്കേണ്ട സമയം
side effect profile,പാർശ്വഫലങ്ങളെക്കുറിച്ചുള്ള വിവരങ്ങൾ
clinical trials,വൈദ്യശാസ്ത്ര പഠനങ്ങൾ
informed consent,സമ്മതപത്രം
blurred vision,കാഴ്ച മങ്ങൽ
ബിസിനസ് നെറ്റ് വർക്കിന്റെ,നാഡി
നെഗറ്റീവ് ബ്ലോക്കുകളും,ബ്ലോക്കുകളും 
നെഗറ്റീവ് ബ്ലോക്ക്,നാഡി ബ്ലോക്ക്
മിഗ്രിഡ്,മൈഗ്രേൻ
തന്മാത്രകളെ,ചികിത്സാരീതികളെ
മിഗ്രിഡ്,മൈഗ്രേൻ
തന്മാത്രകളെ,ചികിത്സാരീതികളെ
ബിസിനസ് നെറ്റ് വർക്കിന്റെ നെഗറ്റീവ് ബ്ലോക്കുകളും,ഇരുവശങ്ങളിലുമുള്ള നാഡി ബ്ലോക്കുകളും
സ്ഥായിയായ,വിട്ടുമാറാത്ത
ലഭിച്ചിരുന്നു,നൽകിയിരുന്നു
good health,നല്ല ആരോഗ്യം
immediate concerns,അടിയന്തിര ആരോഗ്യ പ്രശ്നങ്ങൾ
no significant issues,പ്രധാനപ്പെട്ട ആരോഗ്യപ്രശ്നങ്ങളൊന്നും
significant issues detected,പ്രധാനപ്പെട്ട രോഗലക്ഷണങ്ങൾ കണ്ടെത്തിയിട്ടില്ല
ആസ്പത്രി അടിസ്ഥാനമാക്കി,പരിശോധനയുടെ അടിസ്ഥാനത്തിൽ
ഡയഗൊണൊനിസിസ്,രോഗനിർണ്ണയം 
ആരോഗ്യാവഹമായ ഒരു പദവിയാണ്,ആരോഗ്യവാനായ അവസ്ഥയാണെന്ന്
ഏതെങ്കിലും ചികിത്സാരീതികളുടെ അഭാവത്തിൽ,രോഗലക്ഷണങ്ങൾ ഇല്ലാത്തതിനാൽ
മരുന്നുകൾ ഇന്നുള്ളപ്പോൾ നിർദ്ദേശിച്ചിട്ടില്ല,നിലവിൽ മരുന്നുകളൊന്നും നിർദ്ദേശിച്ചിട്ടില്ല
പ്രധാനപ്പെട്ട ഒരു വിവരവും,പ്രധാനപ്പെട്ട ആരോഗ്യപ്രശ്നങ്ങളൊന്നും
diagnosis indicates,രോഗനിർണ്ണയം സൂചിപ്പിക്കുന്നത്
healthy status,ആരോഗ്യവാനായ അവസ്ഥ
underlying health issues,അടിസ്ഥാനപരമായ ആരോഗ്യപ്രശ്നങ്ങൾ
absence of,അഭാവം
no medication is prescribed,മരുന്നുകളൊന്നും നിർദ്ദേശിച്ചിട്ടില്ല
at present,നിലവിൽ
no evidence of,ലക്ഷണങ്ങളൊന്നും കണ്ടെത്താനായില്ല
during the examination,പരിശോധനാ സമയത്ത്
glycemic control,രക്തത്തിലെ പഞ്ചസാരയുടെ അളവ് നിയന്ത്രിക്കാൻ
mild peripheral neuropathy,നാഡികളെ ബാധിക്കുന്ന നേരിയ രോഗാവസ്ഥ 
non-proliferative retinopathy,നോൺ-പ്രൊലിഫെറേറ്റീവ് റെറ്റിനോപ്പതി
eye exam revealed,നേത്ര പരിശോധനയിൽ കണ്ടെത്തി
diagnosed,രോഗം സ്ഥിരീകരിച്ചത്
ജിവിത നിയന്ത്രണവുമായി മല്ലിടുകയാണ്,പ്രമേഹ നിയന്ത്രണത്തിൽ ബുദ്ധിമുട്ടുന്നു
പ്രത്യയശാസ്ത്രമില്ലാത്തതിന്റെ,റെറ്റിനോപ്പതിയുടെ
കണ്ണിന്റെ പരീക്ഷ,നേത്ര പരിശോധനയിൽ
ventricular hypertrophy,ഹൃദയഭിത്തിയുടെ കനം കൂടുന്ന അവസ്ഥ
atrial fibrillation,ക്രമരഹിതമായ ഹൃദയമിടിപ്പ് 
valve prolapse,വാൽവ് താഴേക്ക് ഇറങ്ങുന്ന അവസ്ഥ
ejection fraction,ഹൃദയത്തിന്റെ പമ്പിംഗ് ശേഷി
atherosclerosis,ധമനികളിൽ കൊഴുപ്പ് അടിഞ്ഞുകൂടൽ
myocardial infarction,ഹൃദയാഘാതം
stent placement,സ്റ്റെന്റ് സ്ഥാപിക്കൽ
രക്തസമ്മർദം,രക്തസമ്മർദ്ദം
പനിയുടെ കുറവിനായി,പനിയ്ക്കുള്ള
വിശേഷിച്ചും,പ്രത്യേകിച്ചും
രണ്ടായി കാണുന്നതോ,കാഴ്ച മങ്ങുകയോ രണ്ടായി കാണുകയോ
കടുത്തലവേദനയോ,കടുത്ത തലവേദനയോ
ഡോക് ടറുടെ,ഡോക്ടറുടെ
carotid artery,കഴുത്തിലെ പ്രധാന ധമനി
herniated disc,ഡിസ്ക് തള്ളിവരുന്ന അവസ്ഥ
spinal stenosis,നട്ടെല്ലിലെ സുഷിരം ഇടുങ്ങുന്ന അവസ്ഥ
ligament tear,ലിഗമെന്റിലെ പൊട്ടൽ
muscle atrophy,പേശികൾ ശോഷിക്കുന്നത്
sciatica pain,സയാറ്റിക്ക നാഡിയിലെ വേദന
seizure disorder,അപസ്മാര രോഗം
cerebrovascular accident,പക്ഷാഘാതം 
concussion symptoms,തലയ്ക്കേറ്റ പരിക്കിന്റെ ലക്ഷണങ്ങൾ
white blood cell count,ശ്വേത രക്താണുക്കളുടെ എണ്ണം
platelet deficiency,പ്ലേറ്റ്ലെറ്റുകളുടെ കുറവ്
renal failure,വൃക്കയുടെ പ്രവർത്തനക്ഷയം
liver cirrhosis,കരൾ വീക്കം 
biopsy report,കോശപരിശോധനാ ഫലം
culture and sensitivity,അണുബാധയും മരുന്ന് പരിശോധനയും
electrolyte imbalance,ശരീരത്തിലെ ലവണങ്ങളുടെ അസന്തുലിതാവസ്ഥ
high cholesterol,കൊളസ്‌ട്രോളിന്റെ അളവ് കൂടുതൽ
profuse sweating,അമിതമായി വിയർക്കുക
chest heaviness,നെഞ്ചിൽ ഭാരവും അസ്വസ്ഥതയും
intermittent pain,ഇടവിട്ടുണ്ടാകുന്ന വേദന
swelling in feet,പാദങ്ങളിലെ നീർവീക്കം
loss of consciousness,ബോധക്ഷയം
radiating pain,മറ്റ് ഭാഗങ്ങളിലേക്ക് പടരുന്ന വേദന
numbness and tingling,മരവിപ്പും തരിപ്പും
severe dehydration,ശരീരത്തിൽ ജലാംശം വല്ലാതെ കുറയുക
ജീവിതത്തിന്റെ നിയന്ത്രണം,പ്രമേഹ നിയന്ത്രണം 
പ്രത്യയശാസ്ത്രമില്ലാത്ത,നോൺ-പ്രൊലിഫെറേറ്റീവ്
കണ്ണിന്റെ പരീക്ഷണം,നേത്ര പരിശോധന 
നാഡി ബിസിനസ്സ്,നാഡി ബ്ലോക്ക് 
-ാം തീയതി,ദിവസമായി
ശരീരത്തിന്റെ സ്ഥാനം,ശരീരത്തിന്റെ ഭാവം 
presented with,ചികിത്സ തേടി എത്തി
complaints of,പരാതികളുമായി
for the past,കഴിഞ്ഞ
examination found,പരിശോധനയിൽ കണ്ടെത്തി
tenderness over,തൊടുമ്പോൾ അനുഭവപ്പെടുന്ന വേദന
blood test revealed,രക്തപരിശോധനയിൽ കണ്ടെത്തി
mild infection,നേരിയ അണുബാധ
lumbar spine area,നട്ടെല്ലിന്റെ താഴത്തെ ഭാഗം
difficult to control,നിയന്ത്രിക്കാൻ ബുദ്ധിമുട്ടുള്ള
multiple therapies,വിവിധ ചികിത്സാരീതികൾ
unsustained response,സ്ഥിരമായ ഫലം ലഭിച്ചില്ല
early signs of,പ്രാരംഭ ലക്ഷണങ്ങൾ
struggling with,ബുദ്ധിമുട്ടുന്നു
background of,രോഗചരിത്രത്തിൽ
revealed a,കണ്ടെത്തി
ഹൈപ്പർടണിന്റെ,രക്താതിമർദ്ദത്തിന്റെ
കാർഡിക്,ഹൃദയസംബന്ധമായ
മാനേജ് മെന്റ ്,ചികിത്സാ പദ്ധതി
റിപോർട്,റിപ്പോർട്ട്
ഹീമോഗ്ലോബിൻസിന്റെ,രക്താതിമർദ്ദത്തിന്റെ
ആൻറിറെട്രോവൈറൽ ഹെപ്പറ്റൈറ്റിസ്,രക്തസമ്മർദ്ദത്തിനുള്ള
ക്ലിനിക്കൽ പരീക്ഷണം,ശാരീരിക പരിശോധനയിൽ
കി.മീ.,mmHg
ചുമട്,ചുമ
പനിയ് ക്കുള്ള,പനിയുടെ കുറവിനായി
ദിവസങ്ങൾക്കും,ദിവസത്തേക്ക്
ആൻറിബയോട്ടിക്കുകൾ,ആന്റിബയോട്ടിക്കുകൾ
മെലിറ്റസ്,പ്രമേഹം
പരാതിപ്പെടുന്നു,അനുഭവപ്പെടുന്നു
നിലനിർത്തുന്ന ആളാണ്,നയിക്കുന്ന വ്യക്തിയാണ്
നിർദ്ദേശിച്ചു,നിർദ്ദേശിക്കുന്നു
for fever,പനിയുടെ കുറവിനായി
treatment plan,ചികിത്സാ പദ്ധതി
antibiotics,ആന്റിബയോട്ടിക്കുകൾ
paracetamol,പാരസെറ്റമോൾ
fever,പനി
cough,ചുമ
changing positions,ശരീരത്തിന്റെ ഭാവം മാറുമ്പോൾ
Epley maneuver,എപ്ലി മാനുവർ 
chronic migraine,വിട്ടുമാറാത്ത മൈഗ്രേൻ
multiple therapies,വിവിധ ചികിത്സാരീതികൾ
difficult to control,നിയന്ത്രിക്കാൻ ബുദ്ധിമുട്ടായിരുന്നു
Botox injections,ബോട്ടോക്സ് കുത്തിവെപ്പുകൾ
bilateral,ഇരുവശങ്ങളിലുമുള്ള
occipital nerve,ഒസിപിറ്റൽ നാഡി
nerve block,നാഡി ബ്ലോക്ക് 
unsustained response,സ്ഥിരമായ ഫലം ലഭിച്ചില്ല
on both,രണ്ടിനും
അവതരിപ്പിച്ചു,റിപ്പോർട്ട് ചെയ്തു
ആ രോഗിയെ പരിശോധിച്ചു,പരിശോധനയിൽ രോഗിക്ക്
മേൽ തൊടുമ്പോഴുള്ള വേദനയോടെ പെരുമാറി,ഭാഗത്ത് തൊടുമ്പോൾ വേദനയുള്ളതായി കണ്ടു
localized lower back pain,നടുവേദന 
radiating to,പടരുന്ന രീതിയിൽ
left buttock,ഇടത് നിതംബത്തിലേക്ക്
for three weeks,മൂന്നാഴ്ചയായി
history of,രോഗചരിത്രമുണ്ട്
managed with,നിയന്ത്രിച്ചുവരുന്നു
oral medication,കഴിക്കുന്ന മരുന്നുകളിലൂടെ
indicating,സൂചിപ്പിക്കുന്നു
good diabetes control,പ്രമേഹം നിയന്ത്രണവിധേയമാണ്
regular follow-up,സ്ഥിരമായ പരിശോധന
respiratory clinic,ശ്വാസകോശ വിഭാഗം ക്ലിനിക്കിൽ
respiratory status,ശ്വാസകോശ നില
ഒരു കടുത്ത അണുബാധയെ,നേരിയ അണുബാധയുള്ളതായി
പ്രമേഹ പ്രമേഹം,പ്രമേഹം
ചരിത്രമാണ് രോഗിക്ക് ഉള്ളത്,രോഗചരിത്രമുണ്ട്
മരുന്നുകളാണ്,മരുന്നുകൾ കഴിക്കുന്നുണ്ട്
അദ്ദേഹം,ഇദ്ദേഹം 
ഇപ്പോൾ,നിലവിൽ
രക്തസമ്മർദം,രക്തസമ്മർദ്ദം
mmHg ആണ്.,mmHg.
വെളിപ്പെടുത്തി,കണ്ടെത്തി
ഇവർ കണ്ടെത്തി,രോഗം സ്ഥിരീകരിച്ചു
ആദ്യകാലക്ഷണങ്ങൾ,പ്രാരംഭ ലക്ഷണങ്ങൾ
വെളിപ്പെടുത്തി,കണ്ടെത്തി
നിയന്ത്രണത്തിൽ,നിയന്ത്രണത്തിനായി
വയസ്സുള്ള വയസ്സുള്ള,വയസ്സുള്ള
ബോട്ടോക് സ്,ബോട്ടോക്സ്
ഇൻജക് ഷനുകളും,കുത്തിവെപ്പുകളും
ചികിത്സാരീതികളെ ,ചികിത്സാരീതികളിലൂടെ 
ആരോഗ്യ പ്രശ് നങ്ങളുടെ,ആരോഗ്യ പ്രശ്നങ്ങളുടെ
ആരോഗ്യവാനായ,ആരോഗ്യവതിയായ
ആരോഗ്യവാനാണ്,ആരോഗ്യവതിയാണ്
ഇന്നുള്ളപ്പോൾ,നിലവിൽ
ചികിത്സയ്ക്കായി ചികിത്സയുടെ ഭാഗമായി ചികിത്സയിൽ,ചികിത്സയുടെ ഭാഗമായി
അയാളുടെ,ഇദ്ദേഹത്തിന്റെ
അദ്ദേഹത്തിന് ഉണ്ട്,ഇദ്ദേഹത്തിനുണ്ട്
മൂക്കൊലിപ്പും,റൈനൈറ്റിസും
നിരന്തരമായ,വിട്ടുമാറാത്ത
സൂചിപ്പിക്കുന്നത് .,സൂചിപ്പിക്കുന്നു.
സാറാ ആൻഡേഴ് സൺ,സാറാ ആൻഡേഴ്സൺ
ഇവർക്കു നൽകിയിരുന്നു,ഇവർക്ക് നൽകിയിരുന്നു
അവളൊരു,ഇവർ
രേഖകൾ പ്രകാരം,രേഖപ്പെടുത്തുന്നു
നമ്മുടെ കണ്ടെത്തലുകളെ,കണ്ടെത്തലുകളുടെ
നിർദ്ദേശിക്കുന്നു,തയ്യാറാക്കുക
രക്തസമ്മർദം,രക്തസമ്മർദ്ദം
ഓക്സിജൻ ഓക്സിജൻ്റെ അളവ്,ഓക്സിജൻ അളവ്
പാരസെറ്റമോളിനും,പാരാസെറ്റമോളും
ആന്റിബയോട്ടിക്കുകൾ,ആന്റിബയോട്ടിക്കുകളും
അനുഭവപ്പെടുന്നു,അനുഭവപ്പെടുന്നതായി റിപ്പോർട്ട് ചെയ്തു
ഹൃദയസംബന്ധമായ,ഹൃദയാരോഗ്യ
ആഴ് ചയ് ക്കുള്ളിൽ,ആഴ്ചയായി
ഒരു പ്രത്യേക ഭാഗത്ത് മാത്രമുള്ള വേദന,നടുവേദന
രോഗിക്ക് ഒരു ചരിത്രമുണ്ട്,രോഗചരിത്രമുണ്ട്
ആയിരുന്നു,ആണ്
സൂചിപ്പിക്കുന്നു.,സൂചിപ്പിക്കുന്നു.
vestibular rehabilitation,വെസ്റ്റിബുലാർ പുനരധിവാസം
rehabilitation exercises,പുനരധിവാസ വ്യായാമങ്ങൾ
fainting,ബോധക്ഷയം
double vision,രണ്ടായി കാണുന്ന അവസ്ഥ
severe headache,കടുത്ത തലവേദന
medical attention,വൈദ്യസഹായം
seek medical attention,ഡോക്ടറെ കാണുക
fatigue,ക്ഷീണം
blood pressure,രക്തസമ്മർദ്ദം
mmHg,mmHg
oxygen saturation,ഓക്സിജൻ്റെ അളവ് 
treatment plan,ചികിത്സാ പദ്ധതി
antibiotics,ആന്റിബയോട്ടിക്കുകൾ
paracetamol,പാരസെറ്റമോൾ
days,ദിവസത്തേക്ക്
hypertension,രക്താതിമർദ്ദം 
currently on,നിലവിൽ കഴിച്ചുകൊണ്ടിരിക്കുന്നു
antihypertensive,രക്തസമ്മർദ്ദത്തിനുള്ള മരുന്ന്
oral hypoglycemic,പ്രമേഹത്തിനുള്ള ഗുളികകൾ
medications,മരുന്നുകൾ
blood pressure,രക്തസമ്മർദ്ദം
clinical examination,ശാരീരിക പരിശോധന
mmHg,mmHg
non-smoker,പുകവലിക്കാത്ത വ്യക്തി
active lifestyle,സജീവമായ ജീവിതശൈലി
generally active,സാമാന്യം സജീവമായ
cardiac health,ഹൃദയാരോഗ്യ സ്ഥിതി
current status,നിലവിലെ സ്ഥിതി
spective commission,
സ്ഥാനമാനങ്ങൾ മാറുമ്പോൾ,ശരീരത്തിന്റെ ഭാവം മാറുമ്പോൾ
എപ്പിലി റേഷൻ,എപ്ലി മാനുവർ
വ്രണനിർവ്വഹണം,പുനരധിവാസം
രണ്ടു കാഴ് ചപ്പാടോ,രണ്ടായി കാണുന്നതോ
തളർന്നുപോകുകയോ,ബോധക്ഷയം ഉണ്ടാകുകയോ
ഇടത് ബട്ടണിലേക്ക്,ഇടത് നിതംബത്തിലേക്ക് 
മാറ്റിവച്ചിരുന്ന,പടരുന്ന രീതിയിലുള്ള
പ്രാദേശികമായി വന്ന രോഗി,ഒരു പ്രത്യേക ഭാഗത്ത് മാത്രമുള്ള വേദന
ഏതു തരത്തിലുള്ള പ്രമേഹരോഗമാണ്,ടൈപ്പ് 2 പ്രമേഹം 
HBAC,HbA1c
പാപപ്രവർത്തകത്വവും,സൈനസൈറ്റിസും
വയസുള്ള,വയസ്സുള്ള 
മനുഷ്യൻ,പുരുഷൻ
ആസ്തിയുടെ മാനേജ്മെന്റ്,ആസ്ത്മ ചികിത്സയ്ക്കായി 
സ്ഥിരമായി തുടരുകയാണ്,ചികിത്സയിൽ തുടരുകയാണ്
അലർജിയുടെ പശ്ചാത്തലവും,അലർജി മൂലമുള്ള മൂക്കൊലിപ്പും
നല്ല പ്രമേഹ നിയന്ത്രണം,പ്രമേഹം നല്ല രീതിയിൽ നിയന്ത്രിച്ചിട്ടുണ്ട്
സൂചിപ്പിക്കുന്നു,എന്ന് സൂചിപ്പിക്കുന്നു
severe persistent asthma,കഠിനമായ ആസ്ത്മ
increasingly difficult,കൂടുതൽ ബുദ്ധിമുട്ടുള്ള
manage,നിയന്ത്രിക്കാൻ
background of,രോഗചരിത്രമുണ്ട്
allergic rhinitis,അലർജിക് റൈനൈറ്റിസ്
chronic sinusitis,വിട്ടുമാറാത്ത സൈനസൈറ്റിസ്
complicate,സങ്കീർണ്ണമാക്കുന്നു
lifestyle,ജീവിതശൈലി
localized,ശരീരത്തിന്റെ ഒരു ഭാഗത്ത് മാത്രമുള്ള
radiating to,മറ്റ് ഭാഗങ്ങളിലേക്ക് പടരുന്ന
left buttock,ഇടത് നിതംബത്തിൽ
three weeks,മൂന്നാഴ്ചയായി
respiratory clinic,ശ്വസന സംബന്ധമായ ക്ലിനിക്കിൽ
severe persistent asthma,കഠിനമായ ആസ്ത്മ
persistent asthma,വിട്ടുമാറാത്ത ആസ്ത്മ
increasingly difficult,കൂടുതൽ ബുദ്ധിമുട്ടുള്ള
allergic rhinitis,അലർജി മൂലമുള്ള മൂക്കൊലിപ്പ്
chronic sinusitis,വിട്ടുമാറാത്ത സൈനസൈറ്റിസ്
complicate,സങ്കീർണ്ണമാക്കുന്നു
respiratory status,ശ്വസന നില
regular follow-up,സ്ഥിരമായ പരിശോധന
managed with,ചികിത്സയിലുള്ള
oral medication,കഴിക്കുന്ന മരുന്നുകൾ 
HbA1c level,HbA1c ലെവൽ
diabetes control,പ്രമേഹ നിയന്ത്രണം
Laboratory findings,ലാബോറട്ടറി പരിശോധനാ ഫലം
indicating,സൂചിപ്പിക്കുന്നു
report documents,റിപ്പോർട്ടിൽ രേഖപ്പെടുത്തിയിരിക്കുന്നു
outline the,തയ്യാറാക്കുക
management plan,ചികിത്സാ പദ്ധതി
based on findings,കണ്ടെത്തലുകളെ അടിസ്ഥാനമാക്കി
recommended based on,അടിസ്ഥാനമാക്കി നിർദ്ദേശിച്ചു
currently struggling,നിലവിൽ ബുദ്ധിമുട്ടുന്നു
diagnosed with,രോഗം സ്ഥിരീകരിച്ചു
struggling,ബുദ്ധിമുട്ടുന്നു
good health,നല്ല ആരോഗ്യം
immediate concerns,അടിയന്തിര പ്രശ്നങ്ങൾ
assessment,പരിശോധന
significant issues,പ്രധാന പ്രശ്നങ്ങൾ
detected,കണ്ടെത്തി
Diagnosis,രോഗനിർണ്ണയം
indicates,സൂചിപ്പിക്കുന്നു
healthy status,ആരോഗ്യസ്ഥിതി
no evidence,ലക്ഷണങ്ങളില്ല
underlying,അടിസ്ഥാനപരമായ
absence,അഭാവം
medication,മരുന്ന്
prescribed,നിർദ്ദേശിച്ചു
at present,നിലവിൽ
appears,കാണപ്പെടുന്നു
medical,വൈദ്യശാസ്ത്രപരമായ
